respondent_id,company_name,industry,subindustry,hq_country,hq_state,company_size_bucket,employees,annual_revenue_usd,decision_maker_role,seniority,decision_authority_1to5,buying_stage,acquisition_channel,contact_preference,budget_bucket,budget_estimate_usd,urgency_1to5,timeline_days,procurement_complexity_1to5,vendor_count_considered,risk_tolerance_1to5,technical_maturity_1to5,existing_tools,integration_requirements,evaluation_weight_price,evaluation_weight_roi,evaluation_weight_security,evaluation_weight_scalability,evaluation_weight_ease_of_use,evaluation_weight_support,evaluation_weight_compliance,topics,psychographic_tags,persona,cluster_id,cluster_confidence_0to1,sentiment_polarity,sentiment_label,response_text,pain_point_summary,goal_summary,recommended_message_angle,next_best_action,dataset_version,dataset_created_utc
R06253,BlueRiver Networks 7252,Manufacturing,Automotive,United States,MA,1‑50,32,3040511.3,CTO,Executive,5,Consideration,Conference/Event,Self‑serve Demo,<$25k,21516.66,3,74,1,3,2,3,"SAP, Siemens",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; event streaming via webhooks; role‑based access control,0.1713,0.1104,0.1578,0.2038,0.1171,0.1917,0.0478,"analytics, compliance","Integration‑First, ROI‑Driven",ROI Maximizer,0,0.807,-0.191,negative,"As the CTO, I'm evaluating options because supply chain variability hurts forecasts. Our objective is to reduce time‑to‑value while minimizing disruption. We need clear integration paths and a fast security review to move forward.",supply chain variability hurts forecasts,reduce time‑to‑value,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:36
R04685,Horizon Enterprises 5684,Software & SaaS,HR Tech,United States,WA,"201‑1,000",888,73111608.46,CTO,Executive,5,Evaluation,Content/SEO,Email,$25k‑$100k,66872.78,3,56,4,6,3,5,"Jira, Okta",REST/GraphQL API for data sync; SSO with SAML/OIDC; event streaming via webhooks,0.1878,0.4577,0.0955,0.1147,0.0186,0.0508,0.075,"analytics, scale, security","Innovator, Relationship‑Driven, Integration‑First, Cost‑Conscious",Scale & Integration Lead,2,0.92,0.105,positive,"As the CTO, I'm evaluating options because security reviews drag deals for weeks. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,shorten the sales cycle,"Show integration blueprints, APIs, and reference deployments at scale.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:35
R01732,NorthStar Enterprises 2731,Software & SaaS,DevTools,United States,PA,51‑200,180,36292100.4,Operations Manager,Manager,2,Evaluation,Conference/Event,Email,>$500k,1785153.6,2,125,2,4,5,3,Snowflake,SIEM forwarding for audit logs; batch export to data warehouse; event streaming via webhooks,0.1838,0.294,0.0996,0.0565,0.188,0.0656,0.1124,"analytics, compliance, modernization","ROI‑Driven, Relationship‑Driven",ROI Maximizer,0,0.8,0.942,positive,"As the Operations Manager, I'm evaluating options because security reviews drag deals for weeks. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,shorten the sales cycle,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:33
R04743,Cobalt Enterprises 5742,Software & SaaS,DevTools,United States,TN,"5,001+",13480,6266207814.11,CIO,Executive,5,Consideration,Referral,Video Call,>$500k,1084271.22,2,68,4,8,3,4,"GitHub, Okta",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.129,0.1741,0.1013,0.4749,0.0149,0.053,0.0528,"compliance, cost","Integration‑First, Innovator, Risk‑Averse, Data‑Driven",Scale & Integration Lead,2,0.748,0.262,positive,"As the CIO, I'm evaluating options because integration debt is slowing engineering velocity. Our objective is to consolidate overlapping tools while minimizing disruption. We need clear integration paths and a fast security review to move forward.",integration debt is slowing engineering velocity,consolidate overlapping tools,"Show integration blueprints, APIs, and reference deployments at scale.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:35
R04522,Clearview Analytics 5521,Retail & E‑commerce,Marketplace,United States,PA,"1,001‑5,000",4492,783815885.29,CIO,Executive,5,Awareness,Open Source/Community,Email,<$25k,15662.5,3,80,4,5,1,5,Salesforce,SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.0839,0.1242,0.0467,0.3247,0.1317,0.0638,0.2251,"compliance, security, usability","Integration‑First, Data‑Driven",Scale & Integration Lead,2,0.979,0.019,neutral,"As the CIO, I'm evaluating options because attribution is noisy across channels. Our objective is to standardize data pipelines while minimizing disruption. We need clear integration paths and a fast security review to move forward.",attribution is noisy across channels,standardize data pipelines,"Show integration blueprints, APIs, and reference deployments at scale.",Share a 2‑page overview and customer story relevant to their industry.,1.0,2025-08-18T18:29:35
R06341,Pioneer Partners 7340,Software & SaaS,DevTools,United States,OH,"5,001+",10488,18745327901.93,IT Manager,Manager,2,Consideration,Conference/Event,Self‑serve Demo,$100k‑$500k,242433.29,3,90,5,6,3,3,"Salesforce, Datadog",REST/GraphQL API for data sync; SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.1197,0.1956,0.0978,0.0855,0.1469,0.2497,0.1048,"analytics, compliance, modernization","Compliance‑Driven, Integration‑First",Security Guardian,1,0.551,-0.139,negative,"As the IT Manager, I'm evaluating options because tool sprawl is driving higher costs. Our objective is to shorten the sales cycle while minimizing disruption. We need clear integration paths and a fast security review to move forward.",tool sprawl is driving higher costs,shorten the sales cycle,"Open with security posture, attestations, and reference architectures for compliance.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:36
R00577,Clearview Networks 1576,Financial Services,Payments,United States,TX,1‑50,50,3538772.82,CTO,Executive,5,Consideration,Content/SEO,Email,$100k‑$500k,329742.03,3,92,3,10,1,4,Tableau,HIPAA/PCI mappings; SSO with SAML/OIDC; data residency controls; event streaming via webhooks; evidence of SOC 2 Type II; role‑based access control,0.0937,0.1753,0.1751,0.0878,0.1595,0.0494,0.2592,"scale, security","Integration‑First, Cost‑Conscious, Security‑Focused",ROI Maximizer,0,0.734,0.01,neutral,"As the CTO, I'm evaluating options because compliance audits increase cycle time. Our objective is to de‑risk the rollout across teams while minimizing disruption. We need clear integration paths and a fast security review to move forward.",compliance audits increase cycle time,de‑risk the rollout across teams,"Lead with quantified ROI, TCO reduction, and time‑to‑value benchmarks.",Offer a 30‑min discovery call to scope integrations and success metrics.,1.0,2025-08-18T18:29:32
R05203,Quantum Systems 6202,Software & SaaS,FinTech Infra,United States,WI,"201‑1,000",765,82012861.96,CIO,Executive,5,Awareness,Outbound SDR,Email,$25k‑$100k,76485.82,1,208,4,5,3,5,Datadog,SIEM forwarding for audit logs; SSO with SAML/OIDC; batch export to data warehouse; event streaming via webhooks; role‑based access control,0.0573,0.1682,0.0765,0.2638,0.0461,0.3157,0.0725,"cost, scale, usability","Security‑Focused, Integration‑First, Innovator",Scale & Integration Lead,2,0.799,0.033,neutral,"As the CIO, I'm evaluating options because security reviews drag deals for weeks. Our objective is to consolidate overlapping tools while minimizing disruption. We need clear integration paths and a fast security review to move forward.",security reviews drag deals for weeks,consolidate overlapping tools,"Show integration blueprints, APIs, and reference deployments at scale.",Share a 2‑page overview and customer story relevant to their industry.,1.0,2025-08-18T18:29:35
R06364,Quantum Solutions 7363,Financial Services,Insurance,United States,MD,51‑200,51,13696091.8,Product Manager,Manager,2,Awareness,Content/SEO,Phone Call,$25k‑$100k,79174.48,2,145,3,7,2,2,"Salesforce, Workday, ServiceNow",data residency controls; event streaming via webhooks; evidence of SOC 2 Type II,0.0893,0.1672,0.1945,0.0974,0.2684,0.045,0.1382,"analytics, integration, modernization","Compliance‑Driven, Relationship‑Driven",Relationship‑Centric Buyer,4,0.638,-0.159,negative,"As the Product Manager, I'm evaluating options because risk models are fragmented across teams. Our objective is to simplify security reviews while minimizing disruption. We need clear integration paths and a fast security review to move forward.",risk models are fragmented across teams,simplify security reviews,"Highlight white‑glove onboarding, success plans, and executive alignment.",Share a 2‑page overview and customer story relevant to their industry.,1.0,2025-08-18T18:29:36
R00440,Silverline Analytics 1439,Energy & Utilities,Oil & Gas,United States,MD,"1,001‑5,000",3770,417318012.61,Product Manager,Manager,2,Evaluation,Content/SEO,Email,$100k‑$500k,159593.1,2,107,4,3,1,4,"Snowflake, ServiceNow",HIPAA/PCI mappings; REST/GraphQL API for data sync; data residency controls; event streaming via webhooks; evidence of SOC 2 Type II,0.0785,0.1241,0.1719,0.1528,0.1479,0.1716,0.1531,"automation, cost, usability","Speed‑Seeker, Relationship‑Driven, Security‑Focused",Security Guardian,1,0.809,0.333,positive,"As the Product Manager, I'm evaluating options because grid telemetry lacks normalization. Our objective is to accelerate integrations while minimizing disruption. We need clear integration paths and a fast security review to move forward.",grid telemetry lacks normalization,accelerate integrations,"Open with security posture, attestations, and reference architectures for compliance.",Schedule a technical deep‑dive and provide a tailored security packet.,1.0,2025-08-18T18:29:32
